,hotel,url,index,score,latitude,longitude,description,city,latitude_city,longitude_city,temp,rain
10,Hotel Chabrol Opera,https://www.booking.com/hotel/fr/chabrol-opera.fr.html,9,7.5,48.87718928,2.35111378,"Situé à 450 mètres de la gare du Nord et à 550 mètres de la gare de l'Est, l'Hotel Chabrol Opera se trouve à 1,5 km de la basilique du Sacré-Cœur et du quartier Montmartre. Il propose des chambres avec une salle de bains privative et une connexion Wi-Fi gratuite.

Toutes les chambres sont équipées d'une télévision par satellite à écran plat et d'un téléphone. Leur salle de bains est pourvue d'une baignoire ou d'une douche.

Chaque matin, vous dégusterez un petit-déjeuner buffet. Sur demande, vous pourrez également le prendre en chambre. De plus, vous disposerez d'un distributeur automatique sur place.

Enfin, depuis la station de métro Poissonnière à 160 mètres, vous bénéficierez d'un accès direct à l'Opéra et au musée du Louvre. Le cabaret Moulin-Rouge est quant à lui accessible à 1,8 km de l'Hotel Chabrol Opera.",Paris,48.8588897,2.3200410217200766,21.03,4.8
11,Denfert-Montparnasse,https://www.booking.com/hotel/fr/denfert-montparnasse.fr.html,10,7.3,48.83531284,2.32607804,"Installé à Paris, le Denfert-Montparnasse se trouve à 1 km de la tour Montparnasse et de la gare Paris-Montparnasse. Cet établissement 2 étoiles dispose d'un bar-restaurant sur place.

Toutes les chambres insonorisées sont munies d'une salle de bains privative avec une baignoire ou une douche, d'une télévision à écran plat et d'une connexion Wi-Fi gratuite.

Chaque matin, vous pourrez déguster un petit-déjeuner servi dans la salle à manger, dans le patio ou, sur demande, dans l'intimité de votre hébergement.

L'établissement comprend un patio calme et ombragé, une réception ouverte 24h/24 et une bagagerie.

La station de métro Denfert-Rochereau, sur les lignes 4 et 6, est à 5 minutes de marche.",Paris,48.8588897,2.3200410217200766,21.03,4.8
12,Grand Hôtel Des Gobelins,https://www.booking.com/hotel/fr/grand-des-gobelins.fr.html,12,8.2,48.83786745,2.35570773,"Situé à proximité du Quartier Latin, célèbre pour sa vie étudiante animée, le Grand Hôtel Des Gobelins propose un hébergement confortable dans l’un des quartiers les plus vivants de Paris.

Le Grand Hôtel Des Gobelins dispose de 45 chambres confortables, entièrement rénovées et décorées avec soin, ainsi que d’une salle de séminaire totalement équipée près du Jardin des Plantes et du Panthéon.

Entouré de nombreux restaurants et cinémas, à proximité de différents moyens de transports en commun, l’hôtel bénéficie d’un emplacement idéal pour découvrir Paris et ses attractions.",Paris,48.8588897,2.3200410217200766,21.03,4.8
13,Tipi,https://www.booking.com/hotel/fr/tipi.fr.html,14,7.1,48.83548585,2.32537396,"Situé dans le centre de Paris, cet hôtel est installé à 750 mètres de la gare Montparnasse. Il dispose d'une réception ouverte 24h/24, d'une terrasse fleurie et de chambres avec connexion Wi-Fi gratuite.

Chaque chambre est équipée d'une télévision à écran plat et d'un bureau. Les salles de bains privatives sont équipées d'un sèche-cheveux.

Un petit-déjeuner buffet est proposé chaque matin dans la salle à manger élégante de l'hôtel Tipi. Après le petit-déjeuner, vous pourrez visiter le marché, qui est situé dans la même rue que l'hôtel.

Le jardin du Luxembourg est à 1,4 km de l'hôtel Tipi. La station de métro Gaîté est située à 550 mètres ; elle permet de rejoindre les Champs-Élysées. Un parking public est disponible à proximité.",Paris,48.8588897,2.3200410217200766,21.03,4.8
14,GREEN PARK HOTEL PARIS,https://www.booking.com/hotel/fr/green-park-paris.fr.html,13,8.9,48.87833476,2.38422876,"Featuring a bar, GREEN PARK HOTEL PARIS is located in Paris in the Ile de France region, 3.3 km from Gare de l'Est and 3.6 km from Gare du Nord. This 3-star hotel offers room service and a 24-hour front desk. Private parking can be arranged at an extra charge.

At the hotel, rooms include a wardrobe. Featuring a private bathroom with a shower and a hairdryer, rooms at GREEN PARK HOTEL PARIS also provide guests with free WiFi, while selected rooms include a city view. At the accommodation, every room is equipped with a flat-screen TV and a safety deposit box.

The daily breakfast offers continental, Full English/Irish or Asian options.

La Cigale Concert Hall is 4.2 km from GREEN PARK HOTEL PARIS, while Pompidou Centre is 4.3 km away. The nearest airport is Paris - Charles de Gaulle Airport, 17 km from the hotel.",Paris,48.8588897,2.3200410217200766,21.03,4.8
15,Kyriad Hotel XIII Italie Gobelins,https://www.booking.com/hotel/fr/hotelkyriaditaliegobelins.fr.html,15,7.9,48.83379537,2.35496745,"Le Kyriad Hotel XIII Italie Gobelins est situé dans le 13ème arrondissement de Paris. Il propose des chambres avec salle de bains privative dotées d'une connexion Wi-Fi à 100 mètres de la station de métro Les Gobelins.

Les chambres de l'hôtel Kyriad disposent d'une télévision par satellite à écran plat, d'un coffre-fort et d'un plateau/bouilloire. Elles possèdent toutes une salle de bains privative avec baignoire ou douche et certaines sont dotées d'un balcon.

Des croissants fraîchement sortis du four sont servis tous les matins au petit-déjeuner buffet de l'hôtel. Un distributeur de boissons est également disponible à côté de la réception, ouverte 24h/24. Vous bénéficierez également d'un service de commande de journaux.

Le Kyriad Hotel XIII Italie Gobelins se trouve à 10 minutes à pied du jardin des plantes. La station de métro à proximité vous permettra d'accéder directement aux sites touristiques de Paris, dont le musée du Louvre, l'Opéra et Châtelet, le centre-ville. L'AccorHotels Arena est situé à 2 km.",Paris,48.8588897,2.3200410217200766,21.03,4.8
16,Hotel Mirabeau Eiffel,https://www.booking.com/hotel/fr/mirabeau-eiffel.fr.html,16,7.1,48.84405703,2.27965744,"L'Hôtel Mirabeau Eiffel est situé dans le 15ème arrondissement de Paris. Il propose des hébergements contemporains et une réception ouverte 24h/24. Vous pourrez vous détendre sur la terrasse de l'hôtel. La station de métro Javel (ligne 10) est à 350 mètres et permet d'accéder directement au stade Roland Garros.

Les chambres de l'Hotel Mirabeau Eiffel sont dotées d'un bureau, d'un canapé ainsi que d'une salle de bains privative avec sèche-cheveux et douche. L'établissement dispose également de chambres adaptées aux personnes à mobilité réduite.

Une connexion Wi-Fi gratuite est accessible dans l'ensemble de l'hôtel et la tour Eiffel se trouve à 30 minutes à pied. Le Mirabeau Eiffel se situe à 500 mètres du parc André-Citroën, tandis que la gare RER de Javel (ligne C) est à seulement 350 mètres. La station de métro Boucicaut (ligne 8), à seulement 750 mètres, donne accès au parc des expositions de la porte de Versailles.",Paris,48.8588897,2.3200410217200766,21.03,4.8
17,Hôtel Résidence A la Buttes aux Cailles,https://www.booking.com/hotel/fr/residence-a-la-butte-aux-cailles.fr.html,17,8.9,48.8286706,2.3507594,"Offrant une vue sur la ville, l'Hôtel Résidence A la Buttes aux Cailles est situé à Paris, à 2,5 km du jardin du Luxembourg et à 3 km de Paris-Gare-de-Lyon. Cet appart'hôtel 2 étoiles assure un service de sécurité toute la journée ainsi que l'enregistrement et le départ privés. Il propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux, une terrasse et un restaurant traditionnel.

Revêtus de parquet, les logements comprennent un coin repas, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un grille-pain, un réfrigérateur, des plaques de cuisson, une machine à café et une bouilloire sont également fournis. Le linge de lit et les serviettes de toilette sont fournis.

Vous trouverez des restaurants à proximité de l'appart'hôtel.

Vous séjournerez à 3,4 km de la Sainte-Chapelle et de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est à 12 km.",Paris,48.8588897,2.3200410217200766,21.03,4.8
18,Hôtel Gaston,https://www.booking.com/hotel/fr/hotelgaston.fr.html,18,8.1,48.88749849,2.30790541,"Installé dans le 17e arrondissement de Paris, l’Hôtel Gaston a été décoré dans un style contemporain par Anne Lise Dees, ancienne collaboratrice de Philippe Stark. L’établissement se trouve à 2 km de l’avenue des Champs-Élysées et à 2,5 km du quartier des grands magasins. Une connexion Wi-Fi haut débit est disponible gratuitement.

Les chambres modernes et insonorisées disposent de la climatisation, d’une télévision et offrent une vue dégagée sur les environs. Tous les hébergements possèdent un coffre-fort et une salle de bains privative avec un sèche-cheveux. Toutes les chambres sont desservies par un ascenseur.

Un petit-déjeuner buffet ou express est proposé tous les matins dans le hall convivial. Un service d'étage est également disponible. Des services de nettoyage à sec, de fax et de photocopie sont disponibles à la réception ouverte 24h/24. Le hall et les couloirs de l’hôtel ont été décorés par le collectif d’artistes Splendens Factory avec des photos, des graffitis et des anamorphoses.

L’hôtel est à 10 minutes de marche de la station de métro Wagram, d’où vous pourrez rejoindre directement l’Opéra et les Galeries Lafayette. L’hôtel propose également un service de navette aéroport, moyennant des frais supplémentaires.",Paris,48.8588897,2.3200410217200766,21.03,4.8
19,Hotel Meslay Republique,https://www.booking.com/hotel/fr/meslay-republique.fr.html,19,8.1,48.86730056,2.3622397,"Doté d'une connexion Wi-Fi gratuite dans tout l'établissement, l'Hotel Meslay Republique se situe à Paris, à 100 mètres de la place de la République.

Toutes les chambres comportent une télévision par satellite à écran plat. Leur salle de bains est pourvue d'articles de toilette gratuits et d'un sèche-cheveux.

La réception de l'établissement est ouverte 24h/24.

L'Hotel Meslay République se trouve à 1,5 km du centre Pompidou et à moins de 2 km de la cathédrale Notre-Dame. L'aéroport d'Orly est implanté à 20 km.",Paris,48.8588897,2.3200410217200766,21.03,4.8
20,Arthur Residency - Luxury Apartment - Gare Le Havre,https://www.booking.com/hotel/fr/arthur-residency-luxury-apartment-gare-le-havre.fr.html,2,7.9,49.4983625,0.1301614,"Arthur Residency - Luxury Apartment - Gare Le Havre is situated in Le Havre, 2.5 km from Le Volcan, 1.5 km from Saint-Michel's Church, and 2.9 km from Perret Model Appartment. The property is around 3.2 km from Eglise St-Joseph, 23 km from Norman Museum of Ethnography and Popular Arts and 23 km from Honfleur's Old Harbour. The accommodation features a 24-hour front desk and free WiFi is available throughout the property.

The accommodation comes with a fully equipped kitchen with a fridge and kettle, a flat-screen TV and a private bathroom with shower. The units are equipped with heating facilities.

Guests at the aparthotel can enjoy a continental breakfast.

La Forge Museum is 23 km from Arthur Residency - Luxury Apartment - Gare Le Havre, while Trouville-Deauville SNCF Railway Station is 39 km from the property. The nearest airport is Le Havre Octeville Airport, 6 km from the accommodation.",Le Havre,49.4938975,0.1079732,18.35,16.95
21,"The Originals Boutique, Hôtel d'Angleterre, Le Havre, centre, plage",https://www.booking.com/hotel/fr/comfort-d-angleterre.fr.html,7,7.6,49.49404915,0.09936646,"Le Boutique Hotel d’Angleterre Le Havre se trouve dans le centre-ville du Havre, à seulement 100 mètres de la mer, à côté du musée Malraux. Vous profiterez d’une connexion Wi-Fi gratuite dans l’ensemble des locaux.

Les chambres du The Originals Boutique, Hôtel d'Angleterre, Le Havre, centre, plage disposent d'une télévision par satellite à écran plat et d'une salle de bains privative. Un petit-déjeuner buffet vous sera servi chaque matin.

Vous pourrez vous garer en face de l'hôtel. Le stationnement est gratuit la nuit, le dimanche et les jours fériés.

Le The Originals Boutique, Hôtel d'Angleterre, Le Havre, centre, plage est installé à 30 minutes de route de Honfleur et d'Étretat. Deauville et Trouville sont accessibles à 40 km.",Le Havre,49.4938975,0.1079732,18.35,16.95
22,Holiday Inn Express - Le Havre Centre,https://www.booking.com/hotel/fr/campanile-le-havre-centre.fr.html,0,8.4,49.498238,0.128837,"L’Holiday Inn Express - Le Havre Centre, situé dans le centre-ville du Havre et à 600 mètres de la gare SNCF, vous accueille pour un séjour professionnel et de loisirs. Il bénéficie d’une situation idéale pour rejoindre rapidement le centre-ville ou la plage par le tramway, accessible devant l'hôtel. Vous apprécierez la qualité des prestations : connexion Wi-Fi, collations, petit-déjeuner buffet et bar-salon. Afin de faciliter votre arrivée en voiture, vous pourrez profiter du parking privé de l’établissement.
. Réservez l’une des grandes chambres confortables de l’hôtel pour profiter de votre séjour.",Le Havre,49.4938975,0.1079732,18.35,16.95
23,LES APPARTS KENNEDY,https://www.booking.com/hotel/fr/les-apparts-kennedy.fr.html,4,8.5,49.48471326,0.10383903,"L'établissement LES APPARTS KENNEDY est situé en bord de mer au Havre, à 1,5 km de la plage et à moins de 1 km du Volcan. Il est situé à 600 mètres de l'église Saint-Joseph et bénéficie d'une sécurité d'une journée. Offrant une vue sur la mer, il dispose d'une terrasse bien exposée et d'une connexion Wi-Fi gratuite.

Revêtus de parquet, les logements comprennent un coin repas, une télévision à écran plat avec des services de streaming ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un grille-pain, un réfrigérateur, des ustensiles de cuisine, une machine à café et une bouilloire sont également fournis. Le linge de lit et les serviettes sont fournis.

Des équipements de jeux en plein air sont également disponibles.

Vous séjournerez à 1,1 km de l'appartement témoin Perret et à 1,7 km de l'église Saint-Michel. L'aéroport le plus proche, celui du Havre-Octeville, est situé à 6 km.",Le Havre,49.4938975,0.1079732,18.35,16.95
24,Ibis Budget Le Havre Les Docks,https://www.booking.com/hotel/fr/ibis-budget-le-havre-centre.fr.html,6,8.2,49.49424468,0.14285243,"L'Ibis Budget Le Havre Les Docks est situé au Havre, à 4,4 km de la salle de spectacles Le Volcan. Il met gratuitement à votre disposition une connexion Wi-Fi dans l'ensemble de ses locaux et un parking privé sur place.

Les chambres comprennent la climatisation, une télévision, un bureau ainsi qu'une salle de bains privative avec douche, articles de toilette gratuits et toilettes séparées.

Un petit-déjeuner buffet vous sera servi tous les jours sur place. Dans les environs, vous trouverez également des restaurants.

L'Appartement témoin Perret se trouve à 4,4 km de l'Ibis Budget Le Havre Les Docks, tandis que l'église Saint-Michel est à 5 km. En voiture, vous rejoindrez Honfleur en 20 minutes et Étretat en 30 minutes.",Le Havre,49.4938975,0.1079732,18.35,16.95
25,"Le Havre, 1 chambre , appartement Sympa en centre ville",https://www.booking.com/hotel/fr/le-havre-superbe-appartement-centre-ville.fr.html,1,7.6,49.4923869,0.1141751,"Récemment rénové, l'établissement Le Havre, 1 chambre, appartement Sympa en centre ville est situé au Havre, à proximité de la plage du Havre, de l'église Saint-Michel et du Volcan. Occupant un bâtiment datant de 1960, cet appartement se trouve à 1,3 km de l'église Saint-Joseph et à 24 km du musée d'ethnographie et d'art populaire normand. Cet établissement non-fumeurs se trouve à 500 mètres de l'appartement témoin Perret.

Cet appartement de 2 chambres dispose d'un salon avec une télévision par satellite à écran plat, d'une cuisine entièrement équipée avec un lave-vaisselle et un four, ainsi que d'une salle de bains avec une douche à l'italienne. Les serviettes et le linge de lit sont fournis.

Le vieux port de Honfleur et le musée La Forge se trouvent à 24 km. L'aéroport le plus proche, celui de Deauville-Normandie, est situé à 37 km.",Le Havre,49.4938975,0.1079732,18.35,16.95
26,All Suites Appart Hotel Le Havre,https://www.booking.com/hotel/fr/all-suites-appart-le-havre.fr.html,3,8.5,49.488691,0.125929,"Situé au Havre, en Haute-Normandie, à proximité de l'appartement témoin Le Volcan et Perret, l'All Suites Appart Hotel Le Havre propose des hébergements avec accès à une salle de sport. Cet appart'hôtel 3 étoiles dispose d'un ascenseur et d'une sécurité toute la journée. Cet appart'hôtel possède une terrasse bien exposée et une réception ouverte 24h/24. Une connexion Wi-Fi est accessible gratuitement dans l'ensemble de ses locaux.

Cet appart'hôtel est équipé d'une télévision par câble à écran plat, d'une cuisine, d'un coin repas, d'un coffre-fort ainsi que d'une salle de bains privative avec douche à l'italienne et sèche-cheveux. Tous les logements sont insonorisés. Le linge de lit et les serviettes de toilette sont fournis.

Cet appart'hôtel sert un petit-déjeuner buffet ou continental. Vous trouverez un café, un bar et un salon.

Vous pourrez jouer au billard sur place.

Vous séjournerez à 2,8 km de la plage du Havre et à 2 km de l'église Saint-Michel. L'aéroport le plus proche, celui du Havre-Octeville, est situé à 7 km.",Le Havre,49.4938975,0.1079732,18.35,16.95
27,Birgit Hôtel Le Havre Centre,https://www.booking.com/hotel/fr/kyriadlehavrecentre.fr.html,5,8.3,49.49308921,0.13096154,"Bienvenue à Birgit !

Pour visiter Le Havre, rien de mieux que de séjourner dans cet hôtel de 86 chambres entièrement rénové en 2022. Profitez de l'ambiance conviviale entourée d'objets anciens et de souvenirs de voyage.

Situé à proximité du centre-ville, de la gare et des transports en commun, vous pourrez rejoindre la plage et l'esplanade du Havre en 10 minutes.

Séjournez dans des chambres confortables et design, adaptées aux couples, aux familles, aux amis et aux voyageurs d'affaires.
Savourez le petit déjeuner concocté avec amour à partir de produits sains et locaux. Prenez le temps de déguster une des boissons locales dans le bar.

L'hôtel B!rgit Le Havre est la base idéale pour vos déplacements en famille ou entre amis et sera parfait pour une pause lors d'un déplacement professionnel.",Le Havre,49.4938975,0.1079732,18.35,16.95
28,ibis Le Havre Centre,https://www.booking.com/hotel/fr/hotelibislehavre.fr.html,9,8.1,49.49164142,0.11876017,"L'ibis Le Havre Centre est situé dans le centre-ville du Havre, à proximité de la gare SNCF, du port ferry et du centre du commerce international. Une connexion Wi-Fi gratuite est disponible.

Les chambres disposent d'une salle de bains privative, d'une télévision par satellite et de matériel de repassage.

Un petit-déjeuner buffet, composé de plats sucrés et salés, comme des œufs, de la salade de fruits, des yaourts et des jus, est servi chaque matin. Des viennoiseries cuites sur place, des madeleines fraîches ainsi qu'une boisson chaude et un fruit à emporter sont aussi proposés. Vous pourrez par ailleurs déguster un petit-déjeuner plus léger à partir de 4h00.

Depuis l'ibis Le Havre Centre, vous rejoindrez facilement les autoroutes A29 et A131. Honfleur se trouve à 23 km, tandis que Deauville vous attend à 40 km. Enfin, vous pourrez profiter d'un espace de stationnement et d'une salle de réunion sur place.",Le Havre,49.4938975,0.1079732,18.35,16.95
29,Vivez La vue mer - Studio - Port de plaisance - Plage,https://www.booking.com/hotel/fr/vivez-la-vue-mer-port-de-plaisance-plage.fr.html,11,9.4,49.48794455,0.09892914,"Offrant une vue sur la mer, le Vivez La vue mer - Studio - Port de plaisance - Plage est un hébergement situé au Havre, à moins de 1 km de la plage du Havre et à 6 minutes à pied de l'église Saint-Joseph. Il dispose d'un ascenseur, d'un service de sécurité d'une journée et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Cet établissement non-fumeurs se trouve à 1 km du Volcan.

Cet appartement récemment rénové comprend une chambre séparée, une salle de bains, une cuisine entièrement équipée avec un coin repas et un micro-ondes, ainsi qu'un salon avec une télévision à écran plat. Les serviettes et le linge de lit sont fournis. Vous pourrez vous changer dans le dressing de l'appartement.

L'appartement dispose d'une aire de pique-nique où vous pourrez passer une journée en plein air.

Vous séjournerez à 1,2 km de l'appartement témoin Perret et à 1,7 km de l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est à 38 km.",Le Havre,49.4938975,0.1079732,18.35,16.95
30,Appartement charmant idéalement situé !,https://www.booking.com/hotel/fr/appartement-idealement-situe-le-havre1.fr.html,8,9.5,49.4885022,0.1089635,"A recently renovated property, Appartement charmant idéalement situé! is situated in Le Havre near Le Volcan, Eglise St-Joseph and Perret Model Appartment. The property has city views and is 1.1 km from Saint-Michel's Church and 24 km from Norman Museum of Ethnography and Popular Arts. Free WiFi is available throughout the property and Le Havre Beach is 1.5 km away.

This apartment features 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

Honfleur's Old Harbour is 24 km from the apartment, while La Forge Museum is 24 km from the property. The nearest airport is Le Havre Octeville Airport, 6 km from Appartement charmant idéalement situé!.",Le Havre,49.4938975,0.1079732,18.35,16.95
